Name Version Type Abs_path
requests 2.25.1 pip "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder1\requirements.txt"
apache-libcloud 3.3.1 pip "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder1\requirements.txt"
@emotion/react ^11.10.6 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@emotion/styled ^11.10.6 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@mdi/js ^7.2.96 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@monaco-editor/react ^4.4.6 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@mui/icons-material ^5.11.11 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@mui/material ^5.11.15 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@mui/styles ^5.11.13 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@mui/x-date-pickers ^6.0.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@redux-devtools/extension ^3.2.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@reduxjs/toolkit ^1.9.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@stripe/react-stripe-js ^2.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@stripe/stripe-js ^1.52.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
axios ^1.3.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
buffer ^6.0.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
copy-to-clipboard ^3.3.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
crypto-browserify ^3.12.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
generate-password ^1.7.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
